id,phase,check,pass_criterion,evidence,owner,basis,status
P06-12,P06,Render enqueue boundary,Only current authorized facts/entitlement create the bound job; unrenderable/held/legacy kinds cannot sneak through.,Positive plus no-record/held/incorrect-binding cases.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-13,P06,Queue retries and recovery,"Timeout, crash, lease expiry and retries preserve idempotent entitlement and recover rather than orphan a paid matter.",Job transitions and fault injection.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-14,P06,Artifact attachment CAS,Attachment is guarded and current verification checked atomically; unauthorized/stale attempts produce no protected write.,Intercepted writes and DB/CAS evidence.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-15,P06,Stored artifact integrity,Complete valid expected PDF is durably stored; hash/content-type/length mismatch cannot become ready.,Storage/object and finalization evidence.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-16,P06,Download authorization,"Owner gets correct bytes; unauthenticated, wrong-user, wrong-matter, revoked and expired access are refused.",Actual download bytes and denied requests.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-17,P06,Repeat and regeneration,Repeat downloads do not consume another payment/credit; supported regeneration follows approved change/version rules.,Payment/ledger before-after and packet identity.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-18,P06,No surprise postpay intake,"After accepted complete review and payment, the participant is not dumped into new unnecessary packet questions.",Connected UI trace through download.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-19,P06,Ready status coherence,All UI/API notifications agree with actual stored deliverable state; no ready-before-artifact or unreachable ready CTA.,Cross-surface timeline.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-20,P06,Failure and support recovery,"Paid-but-stuck and failed download have correct status, recoverable support/retry/refund path without losing ownership.",Fault-to-resolution scenario.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-21,P06,Unproven price control,A forged/unproven authority record cannot open price or purchase; the test targets the current control and detects its own mutation.,Clean baseline plus targeted mutation signal.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-22,P06,No side-effect proof shortcut,A refusal is checked before charge/credit/attachment/delivery side effects; positive cases complete effects with exact counts.,Instrumented boundaries plus provider/DB readback.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P07-01,P07,Partner setup and provisioning,"Existing partner is found without duplication; creation, invitation, onboarding, publication and activation have correct distinct effects.",Complete operator/admin lifecycle.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-02,P07,First-admin invitation,Correct recipient accepts scoped time-limited invitation; expired/replayed/forwarded/wrong-account tokens fail safely.,Invitation and auth cases.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-03,P07,Onboarding and approvals,"Required decisions, resources and review actions persist; role-limited/read-only sections behave honestly with actionable progress.",All onboarding step and approval states.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-04,P07,Partner configuration,"Scope, geography, branding, landing copy, staff and program settings save correctly without changing other tenants.",Two-tenant configuration/readback.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-05,P07,Public activation,Draft/paused/unapproved programs are not accidentally public or usable; approved activation exposes intended entry only.,Visibility/activation state matrix.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-06,P07,Access-code lifecycle,Issued/revoked/expired/reused codes and dates bind correct program/event and cannot confer staff privileges.,Code/window limits and URL leakage review.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-07,P07,Role least privilege,"Admin, staff, reviewer, reporting/export and internal support actions match actual policy, not just hidden buttons.",UI/API/DB allowed-and-denied matrix.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-08,P07,Participant ownership,"Partner association never transfers the participant's account, Briefcase, packet or identity to the organization.",Ownership and cross-session cases.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-09,P07,Sponsored admission states,"No record/held authority denies before partner access; no benefit, admitted benefit and at-cap states are distinguished.",Real four-state controls with read/write/RPC counters.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-10,P07,Cap and overage policies,"Configured cap, grace, pause, overage and window boundaries are enforced exactly; no invented universal numbers.",Per-profile boundary/parallel cases.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-11,P07,Credit consumption,Exactly one valid qualifying finalization consumes its defined unit; screen/save/guidance/failure/retry/re-download do not.,Durable event counts and atomic race tests.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-12,P07,Sponsor versus DTC,Valid sponsorship bypasses consumer charging; invalid sponsorship does not silently take money or borrow another tenant's credit.,Both channel branches and explicit fallback consent.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-13,P07,All sponsored routes,Every intended route in each distinct authorized sponsor/clinic configuration yields correct treatment and successful packet when offered.,Route/channel E2E matrix.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-14,P07,Sponsor billing and invoices,Overage/usage invoices and credits match authoritative billable events and configured terms; no duplicate invoice cycles.,Sandbox invoice/event reconciliation.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-15,P07,Reporting metric truth,"Starts, screened, eligible, generated, delivered, filed and cleared are distinct; filters, totals, exports and timezone cutoffs agree.",Events-to-dashboard/CSV reconciliation.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-16,P07,Reporting privacy,Partner/sponsor sees only approved aggregate or scoped data; small-cell and export disclosures follow accepted policy.,Tenant/role export tests and content review.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-17,P07,Staff removal and program closure,Revoking membership/event access and ending sponsorship removes access appropriately while preserving participant rights.,Revocation and continued-participant journey.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-18,P07,Partner communications,"Invitations, onboarding notices, cap notices and follow-up messages have truthful status, safe links and correct recipients.",Provider/test-mailbox evidence.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-19,P07,Operator support actions,"Privileged support/provisioning is authenticated, scoped and audited; no broad administrative bypass through UI/API.",Admin action and audit readback.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P07-20,P07,Business profile variation,"All actual contracted/configured partner-profile behaviors are covered, including attribution and continuation terms; uncontracted pilots are not invented.",Profile inventory and applicability mapping.,G + B + R,SRC-01; SRC-06; SRC-07,NOT RUN
P08-01,P08,Event creation and publication,"Event date/timezone, geography, venue, capacity, window, staff, contact and follow-up owner persist accurately; draft is distinct from live.",Event configuration and displayed-time readback.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-02,P08,Entry and registration,Participant link/QR routes to correct event; registration/waitlist/duplicate/cancel/window boundaries work atomically.,Concurrent registration and entry cases.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-03,P08,Self-service clinic journey,"Participant uses own account, maintains event/sponsor attribution and finishes/resumes outside the clinic.",Complete same-matter event journey.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-04,P08,Assisted consent,Staff assistance requires explicit scoped current consent; refusal/revocation is usable and no permanent access is implied.,"Consent UI, authorization and audit cases.",G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-05,P08,Event and role scope,Staff membership alone does not grant every event or matter; assignment and sensitive permissions are enforced server-side.,Cross-event/tenant/role cases.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-06,P08,Assisted edit ownership,"Staff edits identify actual actor, preserve participant rights and invalidate affected review; staff cannot attest as the participant.",Edit/review/attestation evidence.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-07,P08,Ten-person shared-device sequence,"Ten synthetic participants in sequence cannot access prior users' data via back, cache, tabs, autocomplete, downloads or expired sessions.","Continuous device sequence, storage and navigation tests.",G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-08,P08,Timeout and end session,"Timeout, explicit End Session, logout and interrupted exit revoke scoped access and clear prohibited local remnants without losing saved server work.",Timed reset and next-user scenarios.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-09,P08,Network interruption and queues,Poor Wi-Fi/reconnect does not falsely save/register/sign or double-consume; staff can follow the documented safe fallback.,Fault-injection and real-network rehearsal.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-10,P08,Cross-device continuation,Participant resumes correct event/matter on another device without another intake/payment and without staff session leakage.,A-to-B device/account trace.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-11,P08,Legal Aid profile parity,Each configured Legal Aid intake uses its approved source field/statement version; no assumption that a linked external form proves native persistence.,Profile-to-native-field mapping and server readback.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-12,P08,Sensitive intake restrictions,"Financial, household, SSN/citizenship/status data use minimal collection, truthful unknowns and separately authorized review; no zero/default substitution.",Field/role/encryption/reveal/log evidence.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-13,P08,Program versus remedy decision,"Program eligibility, service acceptance, legal remedy eligibility, packet verification and execution readiness are distinct statuses and authorities.",State transitions and conflicting outcome cases.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-14,P08,Applicant signatures,Only the applicant signs intended statements; signatures bind statement version and answer hash; material edits require proper re-attestation.,Signer identity/hash/revision tests.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-15,P08,Attorney review and conflicts,Assigned qualified reviewers see needed material and can record requests/decisions; nonlawyers cannot issue the legal decision or imply representation.,Role/state matrix and human workflow rehearsal.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-16,P08,Court-document execution,"Required signing/notarization order, witness/ID procedure, completed versus unsigned artifacts and re-execution after changes follow the actual contract.",Execution state and final document version.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-17,P08,Notary desk access,Notary sees only necessary documents/identity and cannot access unrelated intake or forge completed execution.,Allowed/denied views and execution audit.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-18,P08,Restricted case-file export,"Court packet, participant guide and partner case file are separate; export recipient/scope/masking/download/retention are correct.",Actual export files and role/audit evidence.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-19,P08,Follow-up queue,"Next action, responsible person, due date, safe contact and escalation survive event end and are actionable.",Queue transition and controlled notification.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-20,P08,Clinic reports and incidents,"Event counts reconcile without calling generation clearance; incident entry, escalation and access remain safe and truthful.",Report/event/incident matrix.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-21,P08,MVLP actual deployed workflow,"When MVLP is offered, its real approved intake/review/execution path works in hosted services, not only a local stand-in; no invented CLS pilot.",MVLP native hosted journey and profile applicability.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-22,P08,Physical rehearsal,"Staff and participants complete the documented check-in, assistance, print/sign/scan and exit flow on intended devices/network with no coaching workaround.",Human-observed dress rehearsal and issue list.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P08-23,P08,Clinic closeout,"Close event safely, reconcile sponsorship, revoke temporary access and preserve participant continuation and assigned follow-up.",End-of-day and next-day cases.,G + B + R + H-C,SRC-01; SRC-06; SRC-07,NOT RUN
P09-01,P09,Authentication attack surface,"Session, token, reset and sign-out controls reject replay/fixation and unsafe origins; cookies/CSRF/CORS follow reviewed deployment contract.",Authorized isolated HTTP and browser tests.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-02,P09,Object and tenant authorization,Every sensitive endpoint/storage object/query proves ownership/role/event scope; UI hiding alone is not security.,Endpoint-by-role/resource matrix including direct requests.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-03,P09,Database RLS and grants,"Anonymous, participant, partner and service roles have only intended row/column/RPC privileges on actual hosted schema.",Hosted readback plus isolated adversarial SQL fixtures.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-04,P09,Payment field immutability,"Participants cannot insert/update authority-bearing paid, amount, currency, entitlement or verification fields to authorize output.",Column/RPC/migration negative tests.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-05,P09,Service-role boundary,Privileged clients/secrets stay server-side; participant IDs and authority come from verified context rather than request data.,Bundle/source/log scan and tampered requests.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-06,P09,Storage isolation,"Private buckets, signed URLs, filenames and list operations cannot expose another user's record; revocation/expiry work.",Storage URL/list/download attacks on synthetic objects.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-07,P09,Sensitive encryption and redaction,"Restricted intake is protected under the accepted cryptographic design, access audited and cleartext excluded from inappropriate storage/logs.",Ciphertext/reveal/access/export evidence.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-08,P09,Logs analytics and traces,"Secrets, raw identifiers, case narrative and legal-aid data do not leak to telemetry, URLs, client errors or third-party recordings.","Sanitized logs, browser payloads and provider configuration.",G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-09,P09,Input and injection defenses,"Applicable SQL/HTML/script/template/command/URL inputs are safe; legal text remains content, never executed instructions.",Context-specific negative cases and code review.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-10,P09,Uploads and parsing,"File type/size/content validation, filename/path handling and parser isolation prevent malicious documents, traversal and unsupported active content.",Synthetic upload/PDF/HTML/ZIP adversarial cases.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-11,P09,Data rights,"Export/delete/retention actions authenticate owner, cover app/storage/derived data and communicate lawful retention limits accurately.",Synthetic data lifecycle and policy comparison.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-12,P09,Audit record integrity,"Review, consent, execution and financial authority records cannot be silently overwritten or attributed to the wrong actor.",Tamper and revision readback cases.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-13,P09,Concurrency and replay,"Duplicate jobs, webhook retries, double sign, race at caps and stale verification cannot violate financial/document invariants.",Controlled race and invariant checks.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-14,P09,Dependencies and secrets,"Applicable dependency vulnerabilities, exposed credentials and risky rendering/network permissions are triaged against actual exposure.",Pinned dependency/secret scan and disposition.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-15,P09,Rate limits and abuse,Public/auth/payment/AI/upload endpoints handle abuse and budget exhaustion without data leakage or fake success.,Bounded acceptance load/abuse cases.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-16,P09,Document adversarial boundaries,"Prompt injection, embedded active content, forged authority, unsafe URLs and malicious metadata cannot alter approved packet selection/output.",Malicious synthetic document and source fixtures.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-17,P09,Authorization after revocation,"Removed staff, cancelled consent, expired sponsor/event and changed review cannot keep cached authority.",Old-session and stale-cache direct API cases.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-18,P09,Migration and rollback integrity,"Applied schema matches tested contract; upgrades and rollback preserve ownership, payments, immutable receipts and data.",Staging backup/restore/migration results.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-19,P09,Focused security assurance,Independent security expertise reviews high-risk uncovered boundaries; an automated scan is not labeled a penetration test or certification.,Scoped reviewer report and unresolved-risk record.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P09-20,P09,Safe QA conduct,"Tests stay within approved targets/rates/identities; production writes, real charges, filing and external communications need actual authorization.",Scope/sandbox assertions and audit trail.,G + R + H-S,SRC-01; EXT-ASVS,NOT RUN
P10-01,P10,Accessibility success criteria,Use WCAG 2.2 A/AA criteria for applicable UI plus current accepted requirements; automation alone is not conformance proof.,Per-criterion automated/manual applicability and evidence.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-02,P10,Keyboard focus and navigation,"Every actionable control works without mouse; focus is visible/logical, restored after dialogs and not obscured or trapped.",Keyboard sequences across all distinct states.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-03,P10,Labels and accessible errors,"Names, roles, instructions, required states and error summaries are programmatically associated and announced usefully.",DOM/axe plus assistive-technology observation.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-04,P10,Zoom reflow and contrast,"Text, contrast, resize/reflow, target sizes and noncolor cues remain usable on intended screens and magnification.",Measured UI plus zoom/mobile screenshots.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-05,P10,Screen-reader real use,Qualified human uses actual supported screen-reader/browser combinations for critical journeys and dynamic states.,Assistive-tech session notes/recording and defects.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-06,P10,Accessible authentication/timeouts,"Auth/recovery, memory demands, OTP flows and timeout warning/extension meet applicable accessibility and safety needs.",Auth and timed human/browser tests.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-07,P10,Every locale string,"All customer-facing prompts, messages, statuses, guide content and dynamic data render correctly in EN/ES with no missing keys or fallback.",String/state coverage and bilingual review.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-08,P10,Translation comprehension,Important legal/safety/consent wording and complex new Spanish content are understandable to a fluent human; no false equivalence from machine translation.,Bilingual reviewer findings and corrected strings.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-09,P10,Document accessibility,"Guides provide appropriate reading order, language, headings and text alternatives; inaccessible official forms are not altered unlawfully or claimed accessible.",PDF inspection and accessible alternative/workflow evidence.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-10,P10,Browser engines,Declared supported desktop engines run critical state/channel paths; engine failures are not hidden as retries.,Pinned Chromium/Firefox/WebKit projects and results.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-11,P10,Real mobile and clinic devices,"Actual iOS/Android/clinic devices cover keyboard, autofill, PDF view/download, file uploads and session reset beyond emulation.",Device/operator evidence.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-12,P10,Responsive all screens,"Every distinct UI state is inspected at desktop/mobile widths, long content and text size; no overlap or hidden critical actions.",Per-state screenshots and reviewed index.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-13,P10,Load and response budget,Screen/save/auth/payment-return/render/download perform within agreed numeric budgets at intended concurrent clinic/consumer load.,p50/p95/error rate/throughput and agreed targets.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-14,P10,Cold start and resource limits,"Worker cold start, memory limits, large packets and storage/network latency degrade safely and recover without duplicate charges.",Cold/large/slow runtime measurements.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-15,P10,Failure-mode UX,"Provider outage, offline reconnect, slow APIs, browser refresh and render failures have honest recoverable states.",Controlled fault scenarios.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-16,P10,PDF print and scan use,Actual letter-printing/scale/margins/signature space/legibility and clinic scan-return workflows are usable.,Representative physical print/scan human evidence plus all digital pages.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-17,P10,Accessible help and human comprehension,"New users can identify cost, next task, filing material and help without insider explanation; disclosures are not contradictory.",Short observed EN/ES participant tasks.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P10-18,P10,Operational endurance,"A bounded sustained-load and repeated clinic cycle meets targets without growing leaks, stuck work or accounting drift.",Soak summary and end-state reconciliation.,G + R + H-A + H-C,SRC-01; EXT-W3C; EXT-PW,NOT RUN
P11-01,P11,All required instances resolved,Every in-scope route/component/journey/page/role/variant instance is passed or a supported true N/A; blocked/unreviewed/skipped is not a pass.,Coverage reconciliation and applicability evidence.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-02,P11,All 51 jurisdiction sign-off,"Each jurisdiction has legal, document, UX/channel, local-scope and evidence status; none inherits another state's pass.",Jurisdiction coverage roll-up.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-03,P11,No hidden coverage reduction,"No intended route was removed, suppressed or renamed unsupported to clear QA; authorized scope change remains separately visible.",Frozen versus final scope diff.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-04,P11,Required tests truly pass,Current build/type/lint/release jobs all execute and pass; absent/filtered/skipped jobs and first-page-only workflow listings are reconciled.,Complete run/job/step/artifact inventory.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-05,P11,Fix retest and blast radius,Each fix has failing-before/passing-after proof and tests for all affected shared consumers; unchanged evidence is reused only when applicable.,Defect closure links and dependency delta.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-06,P11,No baseline-test false positives,Expected mutation failures are attributed to intended invariant; no-op/crash/unchanged-red cannot earn detection.,Harness controls and targeted signal evidence.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-07,P11,Final artifact integrity,Final source/templates/data/assets match accepted worker image and emitted files; no mutable tag substitution or post-test unreviewed output.,Exact release tuple and download hashes.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-08,P11,Actual migration state,Necessary schema and compatibility migrations are applied in target and checked; committed SQL alone is insufficient.,Target migration readback and recovery record.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-09,P11,Hosted full DTC journey,"Final candidate completes real sandbox payment through exact generated/downloaded packet, without admin shortcut.",Connected browser/provider/DB/worker/artifact trace.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-10,P11,Hosted RCAP and clinic journeys,All distinct intended partner/clinic profiles complete corresponding hosted sponsor and follow-up workflows.,Hosted end-to-end evidence and channel matrix.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-11,P11,Approval applicability,Required owner/legal/output/security/human checks correspond to the final changed artifacts and scope; no forged or blindly rolled approvals.,Final review records and bindings.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-12,P11,Production promotion permission,Exact target and accepted candidate have genuine authorization; outstanding push/production holds are not overridden by QA.,Owner decision and deployment identity.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-13,P11,Production smoke,"Authorized real-domain entry/auth/save/review/help/download boundary checks confirm deployed candidate, configuration and packaged assets.","Smoke results, deployment ID and sanitized runtime logs.",G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-14,P11,Operations and alerts,"Stuck paid work, render/download failures, security/clinic incidents and provider errors reach a named responder; no sensitive telemetry.",Controlled alert/support drill and ownership.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-15,P11,Refund/recovery and rollback,"Existing support/refund/retry and known-good rollback procedures are executable, protect entitlements and match current schema.",Sandbox operations rehearsal and rollback target.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-16,P11,No mutation/test residue,"All processes complete, files restore, test users/artifacts are handled by policy and no synthetic data contaminates customer metrics.",Final tree/process and fixture cleanup evidence.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-17,P11,Final report is bounded,"Report exact reviewed release, counts, coverage, direct vs delegated proofs, human decisions, and open defects; never promise flawless future behavior.",Signed final QA recommendation with links.,G + R + H-O,SRC-01; SRC-02,NOT RUN
P11-18,P11,Finish and maintenance handoff,"Required work is complete before launch recommendation; later legal/form/software changes trigger scoped regression, not permanent audit work.",Final decision and existing maintenance owner.,G + R + H-O,SRC-01; SRC-02,NOT RUN
