jurisdiction,form_id,form_title,source_sha256,revision,binary_present,structural_class,defect_categories,technical_disposition,legal_disposition,affected_track_ids,section,route_kinds,any_sellable,any_credit_consumable,owner,post_launch_priority,exact_next_action
KY,AOC-496.4,496.4,70f9540b2a6ce517024c9b53815e964141e3641dd1a2b62a97af257146508182,REV-2023-06,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design source_identity_ambiguous visually_unsafe,implemented_pending_independent_review,technical_approved_for_at_least_one_served_track,ky_felony_vacatur_expungement,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-496.4 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-496.5,"On ______________________________, 2 ______, the Court ordered the judgment regarding the offense(s) listed on the",273e45032d4f1caed9442ebcfe5804e9202c29eb6265f5b7dde7734e44048ca8,REV-2019-06,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous visually_unsafe,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on KY AOC-496.5 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-496,EXPUNGEMENT ORDER,4c4658780c576300d55f0262fd2455d6eae2a9b2d3e73972dece8a834ea1fdbd,REV-2016-07,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous visually_unsafe,implemented_pending_independent_review,no_independent_approval,ky_misdemeanor_expungement,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-496 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-497.3,AOC-497.3-Rev-7-20-Order-Auto-Expunge N RE,71049fcaf0321ff6ccd3bdc5142c92fabcb4134f7aebb48a6859083085f7c2eb,REV-2020-07,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on KY AOC-497.3 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-497,"The Court, having reviewed Defendants Petition to Expunge and being sufficiently advised, FINDS:",715c00db62e19f07f7dedde68e89309027f4ed9566198a3617cb9bb34a98368b,REV-UNKNOWN,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded visually_unsafe,implemented_pending_independent_review,no_independent_approval,ky_nonconviction_expungement,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-497 and re-render the boundary fixture until no clipping finding remains.
KY,JV-29.1.pdf,JV-29.1.pdf,5dacccad4cc01732bc8b25f7b2bce14f26003c24c05913e22500c4f373b8d477,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY JV-29.1.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,JV-29.pdf,JV-29.pdf,557f0e5567d4a79c0d037ae1e38d7683153b32abdaa17f68511327bd0644ff45,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY JV-29.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,JV-30.pdf,JV-30.pdf,c1ca3e80cd7cb7afc8cec7b2922691895e5c6f8d761c052bbdc98ff317d1e5ee,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY JV-30.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,Kentucky-Expungement-Forms.html,Kentucky-Expungement-Forms.html,c144558f1a2e7745631fbfc599744a4e0c8a3099d905eaed6258fed342858dc8,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY Kentucky-Expungement-Forms.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,AOC-CR-287,AOC-CR-287 Petition and Order of Expunction,2294223f9157d78d3ad756e50befff6c2d6fa08dff96214d751e5229cfd2460f,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design multi_widget_ambiguity never_independently_approved stale_contact_sheet_manifest_or_review_evidence,overlay_no_participant_label_matched,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-287 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-287,AOC-CR-287 Instructions,5b0e6d3180fb1131edfc413c7d3dfdbde7fbc820b039a01727101bb6b63c46ba,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-287 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-287,AOC-CR-287 Instructions,877ad532fcca40c279a6a803704098789b10d77441b583aeb449c2ca41b4d6eb,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-287 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-287,AOC-CR-287 Petition and Order of Expunction,9405bb36e6e879a094ecaa3bcbcd1a1fd1d918d40ecd3dfff22c5ce5043b696a,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved,overlay_implemented_pending_independent_review,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-287 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-287,AOC-CR-287 Petition and Order of Expunction,a876229328f9ee8325890b597633b661711fe606da1be8ddb573cd50791365ed,REV-2025-12,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CR-287 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CR-287,AOC-CR-287 Instructions,fe22270401aa22ee5c801871aeb1c00f3b98cfb6867f7155681bab4af9c990d7,REV-2025-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_dismissal_petition,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2025-12 of NC AOC-CR-287 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-288,AOC-CR-288 Instructions,19f5aa4b45457a811c5b38ededee861af36d1088a3ef7380f00f5d1b277a0ade,REV-2025-03,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2025-03 of NC AOC-CR-288 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-288,AOC-CR-288 Instructions,2b9aa2c8b10778748bf13b2771341bc2bb1791a110f7dbc9d069bbe90912252a,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-288 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-288,AOC-CR-288 Petition and Order of Expunction,37f40f194b64bdc0e2a5189f1b4ee98e9a0722f0b91eac2184a5eee840dde027,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design multi_widget_ambiguity never_independently_approved stale_contact_sheet_manifest_or_review_evidence,overlay_no_participant_label_matched,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-288 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-288,AOC-CR-288 Petition and Order of Expunction,46cdca90a1891b0df1cbfcc960f0c0f839a3ae717313dd46b6e3b69d68747c64,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved,overlay_implemented_pending_independent_review,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-288 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-288,AOC-CR-288 Petition and Order of Expunction,776210116d1ee07a2a53aab41cd3f0a51e382fd3c6f5a7bba9798fc667246a08,REV-2025-03,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CR-288 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CR-288,AOC-CR-288 Instructions,d2a02cbe61e00c4093b3279d1d208ecf59b8cdc8f1fb7eb25189f8c0f7fc8806,REV-2020-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2020-12 of NC AOC-CR-288 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-296,AOC-CR-296 Petition and Order of Expunction,48cc30cdc4681822e9be5b8a94e4ca10c07f9dafa67b01b17c78d5cc05cb0f4d,REV-2025-03,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_146_acquittal_petition,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CR-296 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CR-297,AOC-CR-297 Instructions,689301e080796f9c0c9e8f15c5cd055a47b40034ab58f1fc7b91ab1143f8a484,REV-2025-06,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_145_5_felony,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,"Confirm that revision REV-2025-06 of NC AOC-CR-297 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-297,AOC-CR-297 Petition and Order of Expunction,99c17942a23c80d4e6e66615bc0dca5630fbfe5c5982540cc577da8d89e1eb7c,REV-2025-06,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_145_5_felony,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CR-297 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CR-298,AOC-CR-298 Instructions,5d648de001ff725135f8b83eb38a8c45fc5001ae2dd1d2edb2e6e34044117d5c,REV-2025-07,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,nc_145_5_misdemeanor,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2025-07 of NC AOC-CR-298 is the currently published form, against the issuing body's own publication."
NC,AOC-CR-298,AOC-CR-298 Petition and Order of Expunction,8f526257102e5a5f59bed531e227a2d263d4ef192aaf99fd808a1a866385872b,REV-2025-07,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_145_5_misdemeanor,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CR-298 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CV-226,AOC-CV-226 Affidavit of Indigency,08c01368a638d1f17ca4e49f8f89a0e888184e6da7d7a253c74a0b55864647e7,REV-2021-06,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved,overlay_implemented_pending_independent_review,no_independent_approval,nc_145_5_felony nc_145_5_misdemeanor nc_145_8a_youthful nc_146_dismissal_petition,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2021-06 of NC AOC-CV-226 is the currently published form, against the issuing body's own publication."
NC,AOC-CV-226,AOC-CV-226 Affidavit of Indigency,74057a13e4bccccbbac785c845b4996b322c6219e1c45f1ab42dca2377755a8f,REV-2023-04,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,nc_145_5_felony nc_145_5_misdemeanor nc_145_8a_youthful nc_146_dismissal_petition,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on NC AOC-CV-226 and re-render the boundary fixture until no clipping finding remains.
NC,AOC-CV-226,AOC-CV-226 Affidavit of Indigency,76de51d6bb88f8e3b85983ecdbdaeac08eb683837ff737203eb39c24ad495c9a,REV-2021-06,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved,overlay_implemented_pending_independent_review,no_independent_approval,nc_145_5_felony nc_145_5_misdemeanor nc_145_8a_youthful nc_146_dismissal_petition,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,medium,"Confirm that revision REV-2021-06 of NC AOC-CV-226 is the currently published form, against the issuing body's own publication."
NC,cr287_1.pdf,cr287_1.pdf,sha256_unrecorded_in_repo,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC cr287_1.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,cr297.pdf,cr297.pdf,sha256_unrecorded_in_repo,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC cr297.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,cr298_1.pdf,cr298_1.pdf,sha256_unrecorded_in_repo,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC cr298_1.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,expungements.html,expungements.html,e29c7cc5f83a352601ccffb0443e4e74ef68e8dedcc7d6a1caca356f39940a9d,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC expungements.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,forms-2.html,forms-2.html,30ab86332b088712d661f1760393e50cb9d26a44e59655dca244bb721567d93e,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC forms-2.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,forms.html,forms.html,1903dd98396c983cb00d8a2783a44140d4490f1bc03c1f321eda6b23a6fcbe11,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC forms.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,nc-expunction-petition.html,nc-expunction-petition.html,912cb79923dd1699e81daefc261d2a8a473dfeea70287e6026680032ac7b335c,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NC nc-expunction-petition.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NC,NC-SBI-RIGHT-TO-REVIEW,North Carolina SBI Right to Review Criminal History Instructions,68fe0acc130a1a67eb045ad465fd06762167a5ee355a7e9dca046f5a6514c25e,REV-2025-12,true,flat_pdf,currentness_unverified flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,"Confirm that revision REV-2025-12 of NC NC-SBI-RIGHT-TO-REVIEW is the currently published form, against the issuing body's own publication."
NE,CC-6-11-2.pdf,CC-6-11-2.pdf,8bfa884d66c2d485fc28acfae865075bdb02ae7d6b7a3de839c0248464e767b6,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NE CC-6-11-2.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NE,CC-6-11.2,,8bfa884d66c2d485fc28acfae865075bdb02ae7d6b7a3de839c0248464e767b6,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,ne-setaside-custodial ne-setaside-noncustodial,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,Re-measure the failing widgets on NE CC-6-11.2 and re-render the boundary fixture until no clipping finding remains.
NE,CC-6-11.2A,,968c14bc5eb052eda88eac7548cc5727ee3f724c9c56ddbce63af295a477c6a7,,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on NE CC-6-11.2A and obtain a fresh independent technical and visual approval.
NE,CC-6-11.pdf,CC-6-11.pdf,sha256_unrecorded_in_repo,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NE CC-6-11.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NE,CC-6-11,,c0dcc5c093790f0a54199ab6769876d1c124485cea5de08fb8fc783e9f6a5492,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,ne-setaside-custodial ne-setaside-noncustodial,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,Re-measure the failing widgets on NE CC-6-11 and re-render the boundary fixture until no clipping finding remains.
NE,CC-6-11A,,615c64b428d5fdd43ea7d96e3be387bc623860709106b511a16c452c9d9a50ac,,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on NE CC-6-11A and obtain a fresh independent technical and visual approval.
NE,CC-6-12.pdf,CC-6-12.pdf,68478452073cdb89dac20843e3d7f5df2ad31b41608ab04deafe940bd6401d28,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for NE CC-6-12.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
NE,CC-6-12,,68478452073cdb89dac20843e3d7f5df2ad31b41608ab04deafe940bd6401d28,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,ne-seal-pardoned ne-seal-pre2017 ne-trafficking-setaside-and-seal,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,medium,Re-measure the failing widgets on NE CC-6-12 and re-render the boundary fixture until no clipping finding remains.
NE,CC-6-12,,b76a0931b781a97de38d17d5856996de307e8c3fb9a67fb48e5679bd232da26a,,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,ne-seal-pardoned ne-seal-pre2017 ne-trafficking-setaside-and-seal,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,medium,Resolve the recorded source or design hold on NE CC-6-12 and obtain a fresh independent technical and visual approval.
NE,CC-6-15.1,,d1fb1340b1ef42bab9da89f9ed6bc8d669057158065bd6bfcb37e762777a6b79,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,ne-seal-pre2017,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,medium,Re-measure the failing widgets on NE CC-6-15.1 and re-render the boundary fixture until no clipping finding remains.
NE,DC-1-15,,43675986d4b740ebb26c0b6778655e25f5d1bd6145a439154b00350c6072cd5b,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,ne-setaside-custodial ne-setaside-noncustodial,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,medium,Re-measure the failing widgets on NE DC-1-15 and re-render the boundary fixture until no clipping finding remains.
NE,DC-6-7.1A,,e97e032a721f1d223ff83b9ddfee0e703fb2bc8c06a8279f45cad1adacc9a605,,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on NE DC-6-7.1A and obtain a fresh independent technical and visual approval.
NE,DC-6-7.2,,33765f661ddeaacfbc623b77e4e0b873b24816bfda472fa2c6b0f093945d96be,,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved visually_unsafe,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on NE DC-6-7.2 and re-render the boundary fixture until no clipping finding remains.
NE,DC-6-7.2A,,8b2a1679046fc5502728526d7cf2c272791f95f91f7b2400834cf5031b2502e0,,true,acroform,held_on_source_or_design multi_widget_ambiguity never_independently_approved stale_contact_sheet_manifest_or_review_evidence,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on NE DC-6-7.2A and obtain a fresh independent technical and visual approval.
VA,CC-1201-A,ADDENDUM TO PETITION FOR SEALING,01427e4ea4dce8ea5b053bb681556533c1313a8fd362983a9616465acdf6a8ed,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,"Confirm that revision REV-2026-07 of VA CC-1201-A is the currently published form, against the issuing body's own publication."
VA,CC-1201,PETITION FOR SEALING PURSUANT,7b56d8e167f610739da1578ec96e8bc7925ae029141857e7350bd7482c8e7e78,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,va_seal_ancillary_matter_only va_seal_enumerated_seven_year va_seal_petition_felony va_seal_petition_misdemeanor,active_track_problem_pdfs,guidance_only exact_supported_deferral,false,false,Terminal A route owner,high,"Confirm that revision REV-2026-07 of VA CC-1201 is the currently published form, against the issuing body's own publication."
VA,CC-1203-A,ADDENDUM TO PETITION FOR SEALING,3f9bb4dcc114dc5a36aaf14439841dfd536ca8e84febbc01aca52792dc190da1,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,"Confirm that revision REV-2026-07 of VA CC-1203-A is the currently published form, against the issuing body's own publication."
VA,CC-1203-B,ADDENDUM TO PETITION FOR SEALING,9ec9a6b12adb3a3f14ec0afd39ddcfab4ec00ec2fa441ff5e1648ffb8b334781,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,"Confirm that revision REV-2026-07 of VA CC-1203-B is the currently published form, against the issuing body's own publication."
VA,CC-1203,PETITION FOR SEALING PURSUANT,25d08cb32e0b0bed778465d91b869f43d8f94ce6986c5036c5de7e307a31d35a,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,"Confirm that revision REV-2026-07 of VA CC-1203 is the currently published form, against the issuing body's own publication."
VA,CC-1473,PETITION FOR EXPUNGEMENT,6176c2f55bdb320682acecf0a79931bd5e496c4c93b5696645d4ef447fa67219,REV-2026-07,true,acroform,currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,no_implementation_record,no_independent_approval,va_exp_nonconviction,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,"Confirm that revision REV-2026-07 of VA CC-1473 is the currently published form, against the issuing body's own publication."
VA,cc1473.pdf,cc1473.pdf,6f4390495a8781ee48845b575c7e245eb09a2e492319aa51206882a1b4cdf3f3,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for VA cc1473.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
